0 1699586937 s1 r1 21621038 0
1 1699586938 s1 r1 909 0
2 1699586939 s1 r1 6951 0
3 1699586940 s1 r1 38124 0
4 1699586941 s1 r1 0770719936 0
5 1699586942 s1 r1 7901733 0
6 1699586943 s1 r1 4 0
7 1699586944 s1 r1 172000198 0
8 1699586945 s1 r1 868 0
9 1699586946 s1 r1 551634987 0
10 1699586947 s1 r1 2477693 0
11 1699586948 s1 r1 9335917090 0
12 1699586949 s1 r1 659693 0
13 1699586950 s1 r1 34 0
14 1699586951 s1 r1 038 0
15 1699586952 s1 r1 724352 0
16 1699586953 s1 r1 4104 0
17 1699586954 s1 r1 103286 0
18 1699586955 s1 r1 89 0
19 1699586956 s1 r1 5851102983 0
0 1699586937 s1 r1 21621038 0 0
7 1699586944 s1 r1 172000198 0 0
4 1699586941 s1 r1 0770719936 0 0
18 1699586955 s1 r1 89 0 0
2 1699586939 s1 r1 6951 0 0
18 1699586955 s1 r1 89 0 0
5 1699586942 s1 r1 7901733 0 0
5 1699586942 s1 r1 7901733 0 0
18 1699586955 s1 r1 89 0 0
4 1699586941 s1 r1 0770719936 0 0
4 1699586941 s1 r1 0770719936 0 0
0 1699586937 s1 r1 21621038 0 0
16 1699586953 s1 r1 4104 0 0
4 1699586941 s1 r1 0770719936 0 0
8 1699586945 s1 r1 868 0 0
2 1699586939 s1 r1 6951 0 0
2 1699586939 s1 r1 6951 0 0
4 1699586941 s1 r1 0770719936 0 0
7 1699586944 s1 r1 172000198 0 0
2 1699586939 s1 r1 6951 0 0
6 1699586943 s1 r1 4 0 0
5 1699586942 s1 r1 7901733 0 0
1 1699586938 s1 r1 909 0 0
16 1699586953 s1 r1 4104 0 0
2 1699586939 s1 r1 6951 0 0
18 1699586955 s1 r1 89 0 0
7 1699586944 s1 r1 172000198 0 0
16 1699586953 s1 r1 4104 0 0
3 1699586940 s1 r1 38124 0 0
0 1699586937 s1 r1 21621038 0 0
5 1699586942 s1 r1 7901733 0 0
16 1699586953 s1 r1 4104 0 0
4 1699586941 s1 r1 0770719936 0 0
1 1699586938 s1 r1 909 0 0
5 1699586942 s1 r1 7901733 0 0
6 1699586943 s1 r1 4 0 0
5 1699586942 s1 r1 7901733 0 0
6 1699586943 s1 r1 4 0 0
7 1699586944 s1 r1 172000198 0 0
5 1699586942 s1 r1 7901733 0 0
2 1699586939 s1 r1 6951 0 0
3 1699586940 s1 r1 38124 0 0
1 1699586938 s1 r1 909 0 0
0 1699586937 s1 r1 21621038 0 0
4 1699586941 s1 r1 0770719936 0 0
5 1699586942 s1 r1 7901733 0 0
6 1699586943 s1 r1 4 0 0
16 1699586953 s1 r1 4104 0 0
18 1699586955 s1 r1 89 0 0
2 1699586939 s1 r1 6951 0 0
1 1699586938 s1 r1 909 0 0
18 1699586955 s1 r1 89 0 0
0 1699586937 s1 r1 21621038 0 0
1 1699586938 s1 r1 909 0 0
0 1699586937 s1 r1 21621038 0 0
4 1699586941 s1 r1 0770719936 0 0
2 1699586939 s1 r1 6951 0 0
5 1699586942 s1 r1 7901733 0 0
5 1699586942 s1 r1 7901733 0 0
6 1699586943 s1 r1 4 0 0
16 1699586953 s1 r1 4104 0 0
2 1699586939 s1 r1 6951 0 0
6 1699586943 s1 r1 4 0 0
18 1699586955 s1 r1 89 0 0
0 1699586937 s1 r1 21621038 0 0
1 1699586938 s1 r1 909 0 0
1 1699586938 s1 r1 909 0 0
3 1699586940 s1 r1 38124 0 0
0 1699586937 s1 r1 21621038 0 0
18 1699586955 s1 r1 89 0 0
8 1699586945 s1 r1 868 0 0
8 1699586945 s1 r1 868 0 0
2 1699586939 s1 r1 6951 0 0
3 1699586940 s1 r1 38124 0 0
2 1699586939 s1 r1 6951 0 0
5 1699586942 s1 r1 7901733 0 0
16 1699586953 s1 r1 4104 0 0
8 1699586945 s1 r1 868 0 0
1 1699586938 s1 r1 909 0 0
8 1699586945 s1 r1 868 0 0
0 1699586937 s1 r1 21621038 0 0
7 1699586944 s1 r1 172000198 0 0
0 1699586937 s1 r1 21621038 0 0
8 1699586945 s1 r1 868 0 0
1 1699586938 s1 r1 909 0 0
0 1699586937 s1 r1 21621038 0 0
2 1699586939 s1 r1 6951 0 0
3 1699586940 s1 r1 38124 0 0
2 1699586939 s1 r1 6951 0 0
16 1699586953 s1 r1 4104 0 0
3 1699586940 s1 r1 38124 0 0
2 1699586939 s1 r1 6951 0 0
4 1699586941 s1 r1 0770719936 0 0
3 1699586940 s1 r1 38124 0 0
0 1699586937 s1 r1 21621038 0 0
8 1699586945 s1 r1 868 0 0
0 1699586937 s1 r1 21621038 0 0
8 1699586945 s1 r1 868 0 0
5 1699586942 s1 r1 7901733 0 0
16 1699586953 s1 r1 4104 0 0
7 1699586944 s1 r1 172000198 0 0
2 1699586939 s1 r1 6951 0 0
3 1699586940 s1 r1 38124 0 0
3 1699586940 s1 r1 38124 0 0
4 1699586941 s1 r1 0770719936 0 0
18 1699586955 s1 r1 89 0 0
16 1699586953 s1 r1 4104 0 0
6 1699586943 s1 r1 4 0 0
16 1699586953 s1 r1 4104 0 0
7 1699586944 s1 r1 172000198 0 0
1 1699586938 s1 r1 909 0 0
3 1699586940 s1 r1 38124 0 0
3 1699586940 s1 r1 38124 0 0
6 1699586943 s1 r1 4 0 0
1 1699586938 s1 r1 909 0 0
7 1699586944 s1 r1 172000198 0 0
7 1699586944 s1 r1 172000198 0 0
7 1699586944 s1 r1 172000198 0 0
16 1699586953 s1 r1 4104 0 0
2 1699586939 s1 r1 6951 0 0
2 1699586939 s1 r1 6951 0 0
3 1699586940 s1 r1 38124 0 0
3 1699586940 s1 r1 38124 0 0
6 1699586943 s1 r1 4 0 0
6 1699586943 s1 r1 4 0 0
0 1699586937 s1 r1 21621038 0 0
4 1699586941 s1 r1 0770719936 0 0
5 1699586942 s1 r1 7901733 0 0
0 1699586937 s1 r1 21621038 0 0
16 1699586953 s1 r1 4104 0 0
7 1699586944 s1 r1 172000198 0 0
3 1699586940 s1 r1 38124 0 0
4 1699586941 s1 r1 0770719936 0 0
7 1699586944 s1 r1 172000198 0 0
4 1699586941 s1 r1 0770719936 0 0
2 1699586939 s1 r1 6951 0 0
0 1699586937 s1 r1 21621038 0 0
8 1699586945 s1 r1 868 0 0
16 1699586953 s1 r1 4104 0 0
18 1699586955 s1 r1 89 0 0
8 1699586945 s1 r1 868 0 0
8 1699586945 s1 r1 868 0 0
3 1699586940 s1 r1 38124 0 0
6 1699586943 s1 r1 4 0 0
6 1699586943 s1 r1 4 0 0
16 1699586953 s1 r1 4104 0 0
2 1699586939 s1 r1 6951 0 0
1 1699586938 s1 r1 909 0 0
8 1699586945 s1 r1 868 0 0
7 1699586944 s1 r1 172000198 0 0
1 1699586938 s1 r1 909 0 0
6 1699586943 s1 r1 4 0 0
3 1699586940 s1 r1 38124 0 0
2 1699586939 s1 r1 6951 0 0
1 1699586938 s1 r1 909 0 0
8 1699586945 s1 r1 868 0 0
16 1699586953 s1 r1 4104 0 0
5 1699586942 s1 r1 7901733 0 0
18 1699586955 s1 r1 89 0 0
1 1699586938 s1 r1 909 0 0
18 1699586955 s1 r1 89 0 0
5 1699586942 s1 r1 7901733 0 0
1 1699586938 s1 r1 909 0 0
1 1699586938 s1 r1 909 0 0
1 1699586938 s1 r1 909 0 0
16 1699586953 s1 r1 4104 0 0
2 1699586939 s1 r1 6951 0 0
5 1699586942 s1 r1 7901733 0 0
18 1699586955 s1 r1 89 0 0
4 1699586941 s1 r1 0770719936 0 0
1 1699586938 s1 r1 909 0 0
0 1699586937 s1 r1 21621038 0 0
6 1699586943 s1 r1 4 0 0
6 1699586943 s1 r1 4 0 0
8 1699586945 s1 r1 868 0 0
3 1699586940 s1 r1 38124 0 0
0 1699586937 s1 r1 21621038 0 0
7 1699586944 s1 r1 172000198 0 0
1 1699586938 s1 r1 909 0 0
16 1699586953 s1 r1 4104 0 0
0 1699586937 s1 r1 21621038 0 0
7 1699586944 s1 r1 172000198 0 0
0 1699586937 s1 r1 21621038 0 0
3 1699586940 s1 r1 38124 0 0
4 1699586941 s1 r1 0770719936 0 0
0 1699586937 s1 r1 21621038 0 0
3 1699586940 s1 r1 38124 0 0
1 1699586938 s1 r1 909 0 0
5 1699586942 s1 r1 7901733 0 0
16 1699586953 s1 r1 4104 0 0
1 1699586938 s1 r1 909 0 0
1 1699586938 s1 r1 909 0 0
0 1699586937 s1 r1 21621038 0 0
7 1699586944 s1 r1 172000198 0 0
0 1699586937 s1 r1 21621038 0 0
16 1699586953 s1 r1 4104 0 0
7 1699586944 s1 r1 172000198 0 0
18 1699586955 s1 r1 89 0 0
0 1699586937 s1 r1 21621038 0 0
18 1699586955 s1 r1 89 0 0
4 1699586941 s1 r1 0770719936 0 0
0 1699586937 s1 r1 21621038 0 0
16 1699586953 s1 r1 4104 0 0
6 1699586943 s1 r1 4 0 0
1 1699586938 s1 r1 909 0 0
2 1699586939 s1 r1 6951 0 0
4 1699586941 s1 r1 0770719936 0 0
6 1699586943 s1 r1 4 0 0
18 1699586955 s1 r1 89 0 0
7 1699586944 s1 r1 172000198 0 0
5 1699586942 s1 r1 7901733 0 0
0 1699586937 s1 r1 21621038 0 0
2 1699586939 s1 r1 6951 0 0
4 1699586941 s1 r1 0770719936 0 0
7 1699586944 s1 r1 172000198 0 0
8 1699586945 s1 r1 868 0 0
2 1699586939 s1 r1 6951 0 0
2 1699586939 s1 r1 6951 0 0
18 1699586955 s1 r1 89 0 0
6 1699586943 s1 r1 4 0 0
8 1699586945 s1 r1 868 0 0
1 1699586938 s1 r1 909 0 0
1 1699586938 s1 r1 909 0 0
1 1699586938 s1 r1 909 0 0
0 1699586937 s1 r1 21621038 0 0
5 1699586942 s1 r1 7901733 0 0
18 1699586955 s1 r1 89 0 0
0 1699586937 s1 r1 21621038 0 0
7 1699586944 s1 r1 172000198 0 0
4 1699586941 s1 r1 0770719936 0 0
7 1699586944 s1 r1 172000198 0 0
3 1699586940 s1 r1 38124 0 0
3 1699586940 s1 r1 38124 0 0
4 1699586941 s1 r1 0770719936 0 0
7 1699586944 s1 r1 172000198 0 0
7 1699586944 s1 r1 172000198 0 0
8 1699586945 s1 r1 868 0 0
7 1699586944 s1 r1 172000198 0 0
5 1699586942 s1 r1 7901733 0 0
4 1699586941 s1 r1 0770719936 0 0
8 1699586945 s1 r1 868 0 0
3 1699586940 s1 r1 38124 0 0
2 1699586939 s1 r1 6951 0 0
4 1699586941 s1 r1 0770719936 0 0
1 1699586938 s1 r1 909 0 0
6 1699586943 s1 r1 4 0 0
1 1699586938 s1 r1 909 0 0
4 1699586941 s1 r1 0770719936 0 0
0 1699586937 s1 r1 21621038 0 0
7 1699586944 s1 r1 172000198 0 0
16 1699586953 s1 r1 4104 0 0
2 1699586939 s1 r1 6951 0 0
6 1699586943 s1 r1 4 0 0
5 1699586942 s1 r1 7901733 0 0
2 1699586939 s1 r1 6951 0 0
3 1699586940 s1 r1 38124 0 0
2 1699586939 s1 r1 6951 0 0
16 1699586953 s1 r1 4104 0 0
8 1699586945 s1 r1 868 0 0
8 1699586945 s1 r1 868 0 0
16 1699586953 s1 r1 4104 0 0
6 1699586943 s1 r1 4 0 0
3 1699586940 s1 r1 38124 0 0
4 1699586941 s1 r1 0770719936 0 0
2 1699586939 s1 r1 6951 0 0
7 1699586944 s1 r1 172000198 0 0
1 1699586938 s1 r1 909 0 0
1 1699586938 s1 r1 909 0 0
6 1699586943 s1 r1 4 0 0
1 1699586938 s1 r1 909 0 0
5 1699586942 s1 r1 7901733 0 0
7 1699586944 s1 r1 172000198 0 0
3 1699586940 s1 r1 38124 0 0
7 1699586944 s1 r1 172000198 0 0
1 1699586938 s1 r1 909 0 0
1 1699586938 s1 r1 909 0 0
2 1699586939 s1 r1 6951 0 0
5 1699586942 s1 r1 7901733 0 0
2 1699586939 s1 r1 6951 0 0
0 1699586937 s1 r1 21621038 0 0
5 1699586942 s1 r1 7901733 0 0
5 1699586942 s1 r1 7901733 0 0
6 1699586943 s1 r1 4 0 0
4 1699586941 s1 r1 0770719936 0 0
6 1699586943 s1 r1 4 0 0
7 1699586944 s1 r1 172000198 0 0
3 1699586940 s1 r1 38124 0 0
8 1699586945 s1 r1 868 0 0
7 1699586944 s1 r1 172000198 0 0
1 1699586938 s1 r1 909 0 0
6 1699586943 s1 r1 4 0 0
18 1699586955 s1 r1 89 0 0
6 1699586943 s1 r1 4 0 0
5 1699586942 s1 r1 7901733 0 0
3 1699586940 s1 r1 38124 0 0
0 1699586937 s1 r1 21621038 0 0
1 1699586938 s1 r1 909 0 0
3 1699586940 s1 r1 38124 0 0
16 1699586953 s1 r1 4104 0 0
1 1699586938 s1 r1 909 0 0
16 1699586953 s1 r1 4104 0 0
18 1699586955 s1 r1 89 0 0
18 1699586955 s1 r1 89 0 0
6 1699586943 s1 r1 4 0 0
16 1699586953 s1 r1 4104 0 0
5 1699586942 s1 r1 7901733 0 0
16 1699586953 s1 r1 4104 0 0
18 1699586955 s1 r1 89 0 0
2 1699586939 s1 r1 6951 0 0
3 1699586940 s1 r1 38124 0 0
7 1699586944 s1 r1 172000198 0 0
4 1699586941 s1 r1 0770719936 0 0
0 1699586937 s1 r1 21621038 0 0
7 1699586944 s1 r1 172000198 0 0
5 1699586942 s1 r1 7901733 0 0
3 1699586940 s1 r1 38124 0 0
16 1699586953 s1 r1 4104 0 0
18 1699586955 s1 r1 89 0 0
6 1699586943 s1 r1 4 0 0
0 1699586937 s1 r1 21621038 0 0
2 1699586939 s1 r1 6951 0 0
18 1699586955 s1 r1 89 0 0
0 1699586937 s1 r1 21621038 0 0
1 1699586938 s1 r1 909 0 0
4 1699586941 s1 r1 0770719936 0 0
3 1699586940 s1 r1 38124 0 0
0 1699586937 s1 r1 21621038 0 0
4 1699586941 s1 r1 0770719936 0 0
1 1699586938 s1 r1 909 0 0
3 1699586940 s1 r1 38124 0 0
2 1699586939 s1 r1 6951 0 0
2 1699586939 s1 r1 6951 0 0
5 1699586942 s1 r1 7901733 0 0
2 1699586939 s1 r1 6951 0 0
4 1699586941 s1 r1 0770719936 0 0
1 1699586938 s1 r1 909 0 0
7 1699586944 s1 r1 172000198 0 0
5 1699586942 s1 r1 7901733 0 0
1 1699586938 s1 r1 909 0 0
8 1699586945 s1 r1 868 0 0
3 1699586940 s1 r1 38124 0 0
7 1699586944 s1 r1 172000198 0 0
16 1699586953 s1 r1 4104 0 0
1 1699586938 s1 r1 909 0 0
16 1699586953 s1 r1 4104 0 0
2 1699586939 s1 r1 6951 0 0
18 1699586955 s1 r1 89 0 0
4 1699586941 s1 r1 0770719936 0 0
3 1699586940 s1 r1 38124 0 0
4 1699586941 s1 r1 0770719936 0 0
3 1699586940 s1 r1 38124 0 0
0 1699587331 s1 r1 03971934 0
1 1699587332 s1 r1 725811724 0
2 1699587333 s1 r1 4116 0
3 1699587334 s1 r1 10744 0
4 1699587335 s1 r1 890577 0
5 1699587336 s1 r1 5863723328 0
6 1699587337 s1 r1 202 0
7 1699587338 s1 r1 99820 0
8 1699587339 s1 r1 6813388 0
9 1699587340 s1 r1 3771 0
10 1699587341 s1 r1 0632 0
11 1699587342 s1 r1 7590670 0
12 1699587343 s1 r1 4421 0
13 1699587344 s1 r1 1389218544 0
14 1699587345 s1 r1 85 0
15 1699587347 s1 r1 23365 0
16 1699587348 s1 r1 9 0
17 1699587349 s1 r1 615 0
18 1699587350 s1 r1 301619 0
19 1699587351 s1 r1 094 0
1 1699586938 s1 r1 909 0 20844704
2 1699586939 s1 r1 6951 0 20844704
4 1699586941 s1 r1 0770719936 0 0
6 1699586943 s1 r1 4 0 0
3 1699586940 s1 r1 38124 0 0
7 1699586944 s1 r1 172000198 0 0
7 1699586944 s1 r1 172000198 0 0
10 1699586947 s1 r1 2477693 0 0
6 1699586943 s1 r1 4 0 0
10 1699586947 s1 r1 2477693 0 0
5 1699586942 s1 r1 7901733 0 0
6 1699586943 s1 r1 4 0 0
1 1699586938 s1 r1 909 0 0
8 1699586945 s1 r1 868 0 0
8 1699586945 s1 r1 868 0 0
14 1699586951 s1 r1 038 0 0
6 1699586943 s1 r1 4 0 0
8 1699586945 s1 r1 868 0 0
16 1699586953 s1 r1 4104 0 0
8 1699586945 s1 r1 868 0 0
10 1699586947 s1 r1 2477693 0 0
0 1699586937 s1 r1 21621038 0 0
1 1699586938 s1 r1 909 0 0
1 1699586938 s1 r1 909 0 0
10 1699586947 s1 r1 2477693 0 0
2 1699586939 s1 r1 6951 0 0
6 1699586943 s1 r1 4 0 0
7 1699586944 s1 r1 172000198 0 0
6 1699586943 s1 r1 4 0 0
9 1699586946 s1 r1 551634987 0 0
6 1699586943 s1 r1 4 0 0
4 1699586941 s1 r1 0770719936 0 0
8 1699586945 s1 r1 868 0 0
8 1699586945 s1 r1 868 0 0
10 1699586947 s1 r1 2477693 0 0
13 1699586950 s1 r1 34 0 0
14 1699586951 s1 r1 038 0 0
6 1699586943 s1 r1 4 0 0
14 1699586951 s1 r1 038 0 0
16 1699586953 s1 r1 4104 0 0
9 1699586946 s1 r1 551634987 0 0
7 1699586944 s1 r1 172000198 0 0
0 1699586937 s1 r1 21621038 0 0
8 1699586945 s1 r1 868 0 0
1 1699586938 s1 r1 909 0 0
8 1699586945 s1 r1 868 0 0
10 1699586947 s1 r1 2477693 0 0
6 1699586943 s1 r1 4 0 0
8 1699586945 s1 r1 868 0 0
12 1699586949 s1 r1 659693 0 0
4 1699586941 s1 r1 0770719936 0 0
1 1699586938 s1 r1 909 0 0
6 1699586943 s1 r1 4 0 0
4 1699586941 s1 r1 0770719936 0 0
1 1699586938 s1 r1 909 0 0
12 1699586949 s1 r1 659693 0 0
4 1699586941 s1 r1 0770719936 0 0
13 1699586950 s1 r1 34 0 0
2 1699586939 s1 r1 6951 0 0
12 1699586949 s1 r1 659693 0 0
5 1699586942 s1 r1 7901733 0 0
0 1699586937 s1 r1 21621038 0 0
13 1699586950 s1 r1 34 0 0
10 1699586947 s1 r1 2477693 0 0
10 1699586947 s1 r1 2477693 0 0
5 1699586942 s1 r1 7901733 0 0
3 1699586940 s1 r1 38124 0 0
0 1699586937 s1 r1 21621038 0 0
1 1699586938 s1 r1 909 0 0
1 1699586938 s1 r1 909 0 0
6 1699586943 s1 r1 4 0 0
7 1699586944 s1 r1 172000198 0 0
10 1699586947 s1 r1 2477693 0 0
5 1699586942 s1 r1 7901733 0 0
3 1699586940 s1 r1 38124 0 0
6 1699586943 s1 r1 4 0 0
13 1699586950 s1 r1 34 0 0
9 1699586946 s1 r1 551634987 0 0
13 1699586950 s1 r1 34 0 0
4 1699586941 s1 r1 0770719936 0 0
13 1699586950 s1 r1 34 0 0
8 1699586945 s1 r1 868 0 0
0 1699586937 s1 r1 21621038 0 0
2 1699586939 s1 r1 6951 0 0
8 1699586945 s1 r1 868 0 0
8 1699586945 s1 r1 868 0 0
4 1699586941 s1 r1 0770719936 0 0
5 1699586942 s1 r1 7901733 0 0
13 1699586950 s1 r1 34 0 0
13 1699586950 s1 r1 34 0 0
5 1699586942 s1 r1 7901733 0 0
4 1699586941 s1 r1 0770719936 0 0
1 1699586938 s1 r1 909 0 0
1 1699586938 s1 r1 909 0 0
7 1699586944 s1 r1 172000198 0 0
0 1699586937 s1 r1 21621038 0 0
9 1699586946 s1 r1 551634987 0 0
7 1699586944 s1 r1 172000198 0 0
10 1699586947 s1 r1 2477693 0 0
7 1699586944 s1 r1 172000198 0 0
5 1699586942 s1 r1 7901733 0 0
